qid,birth_year,death_year,place_of_birth,citizenship,gender,name,occupations,polymath_score_mapped,birth_decade
Q234224,1932,1985,['San Francisco'],United States,['female'],Dian Fossey,"['ecologist', 'primatologist', 'ethologist', 'academic', 'zoologist', 'writer', 'anthropologist', 'biologist']",3,1930
Q7286,1706,1749,['Paris'],France,['female'],Émilie du Châtelet,"['essayist', 'physicist', 'mathematician', 'philosopher of language', 'salonnière', 'translator', 'philosopher']",4,1700
Q1585846,1796,1869,['Hanau'],Germany,['male'],Karl Ludwig Blum,"['historian', 'statistician', 'poet', 'geographer']",3,1790
Q9300159,1851,1928,['São Paulo'],Brazil,['male'],Ramos de Azevedo,"['entrepreneur', 'university teacher', 'architect', 'engineer']",3,1850
Q119149,1840,1907,['Munich'],Germany,['male'],Max Haushofer,"['university teacher', 'economist', 'statistician', 'writer', 'poet', 'politician']",6,1840
Q5998638,1919,2002,['Dolores'],Argentina,['male'],Mario Egidio Teruggi,"['linguist', 'writer', 'geologist']",3,1910
Q3355865,1846,1918,['Bergen'],Norway,['male'],Amund Helland,"['professor', 'glaciologist', 'writer', 'geologist', 'politician']",3,1840
Q969176,1886,1936,['Birmingham'],United Kingdom,['male'],Edward Bach,"['homeopath', 'bacteriologist', 'writer', 'physician', 'philosopher']",3,1880
Q2412021,1771,1833,['Perevolochna'],Russia,['male'],Ivan Martinov,"['linguist', 'classical philologist', 'botanist', 'translator', 'writer', 'teacher', 'poet']",5,1770
Q15453893,1808,1844,['Porto'],Portugal,['male'],Diogo Kopke,"['mathematician', 'journalist', 'writer', 'teacher']",3,1800
Q1306964,1730,1816,['Poggio a Caiano'],United States,['male'],Philip Mazzei,"['diplomat', 'writer', 'physician', 'philosopher']",3,1730
Q1066534,1479,1567,"['Sancourt', 'Saint-Quentin', 'Saulcourt', 'Soyécourt']",France,['male'],Charles de Bovelles,"['theologian', 'university teacher', 'mathematician', 'writer', 'philosopher']",5,1470
Q2058671,1851,1894,['Hamburg'],Germany,['male'],Paul Albrecht,"['anatomist', 'philologist', 'university teacher', 'writer', 'physician', 'anthropologist']",4,1850
Q4104666,1880,1940,['Kazan'],Russia,['male'],Nicolai Vasiliev,"['mathematician', 'psychologist', 'writer', 'philosopher']",3,1880
Q79090,1814,1884,['Pszczyna'],Austria,['male'],Wilhelm Engerth,"['professor', 'inventor', 'architect', 'railway engineer', 'engineer', 'politician']",4,1810
Q563069,1780,1847,['Anstruther'],United Kingdom,['male'],Thomas Chalmers,"['theologian', 'university teacher', 'mathematician', 'economist', 'writer', 'philosopher']",6,1780
